DATE,CSUSHPISA
2003-01-01,128.46
2003-02-01,129.355
2003-03-01,130.14700000000002
2003-04-01,130.884
2003-05-01,131.734
2003-06-01,132.649
2003-07-01,133.77700000000002
2003-08-01,134.968
2003-09-01,136.29399999999998
2003-10-01,137.532
2003-11-01,138.793
2003-12-01,140.179
2004-01-01,141.64600000000002
2004-02-01,143.191
2004-03-01,145.059
2004-04-01,146.592
2004-05-01,148.185
2004-06-01,149.85
2004-07-01,151.338
2004-08-01,152.634
2004-09-01,154.179
2004-10-01,155.75
2004-11-01,157.52700000000002
2004-12-01,159.33
2005-01-01,161.28799999999998
2005-02-01,163.344
2005-03-01,165.812
2005-04-01,167.50099999999998
2005-05-01,169.35
2005-06-01,171.19
2005-07-01,172.859
2005-08-01,174.44299999999998
2005-09-01,176.437
2005-10-01,178.02700000000002
2005-11-01,179.68
2005-12-01,180.91
2006-01-01,182.32
2006-02-01,183.287
2006-03-01,184.364
2006-04-01,184.329
2006-05-01,184.15599999999998
2006-06-01,183.507
2006-07-01,183.067
2006-08-01,182.59599999999998
2006-09-01,182.798
2006-10-01,183.19799999999998
2006-11-01,183.609
2006-12-01,184.138
2007-01-01,184.516
2007-02-01,184.59799999999998
2007-03-01,184.149
2007-04-01,183.01
2007-05-01,181.6
2007-06-01,180.25400000000002
2007-07-01,179.111
2007-08-01,178.11700000000002
2007-09-01,177.558
2007-10-01,176.62400000000002
2007-11-01,175.14700000000002
2007-12-01,174.342
2008-01-01,173.132
2008-02-01,171.54
2008-03-01,170.053
2008-04-01,168.338
2008-05-01,166.65900000000002
2008-06-01,165.017
2008-07-01,163.566
2008-08-01,161.988
2008-09-01,160.308
2008-10-01,158.326
2008-11-01,156.141
2008-12-01,153.618
2009-01-01,151.506
2009-02-01,150.014
2009-03-01,148.66
2009-04-01,147.94799999999998
2009-05-01,147.695
2009-06-01,148.09
2009-07-01,148.409
2009-08-01,148.27700000000002
2009-09-01,148.024
2009-10-01,147.849
2009-11-01,148.134
2009-12-01,147.929
2010-01-01,147.395
2010-02-01,145.631
2010-03-01,145.859
2010-04-01,146.404
2010-05-01,146.394
2010-06-01,145.72
2010-07-01,144.99
2010-08-01,143.915
2010-09-01,143.018
2010-10-01,142.531
2010-11-01,142.172
2010-12-01,142.061
2011-01-01,141.52200000000002
2011-02-01,140.351
2011-03-01,139.982
2011-04-01,140.01
2011-05-01,139.905
2011-06-01,139.862
2011-07-01,139.73
2011-08-01,139.308
2011-09-01,138.66899999999998
2011-10-01,137.953
2011-11-01,137.153
2011-12-01,136.675
2012-01-01,136.608
2012-02-01,136.533
2012-03-01,137.905
2012-04-01,139.155
2012-05-01,140.155
2012-06-01,141.03
2012-07-01,141.66899999999998
2012-08-01,142.281
2012-09-01,142.909
2012-10-01,143.602
2012-11-01,144.586
2012-12-01,145.503
2013-01-01,146.827
2013-02-01,147.783
2013-03-01,149.963
2013-04-01,151.519
2013-05-01,152.849
2013-06-01,154.19899999999998
2013-07-01,155.60399999999998
2013-08-01,156.965
2013-09-01,158.227
2013-10-01,159.24200000000002
2013-11-01,160.07399999999998
2013-12-01,160.993
2014-01-01,161.92700000000002
2014-02-01,162.52700000000002
2014-03-01,163.088
2014-04-01,163.395
2014-05-01,163.662
2014-06-01,164.062
2014-07-01,164.576
2014-08-01,165.21599999999998
2014-09-01,165.907
2014-10-01,166.643
2014-11-01,167.33700000000002
2014-12-01,168.05200000000002
2015-01-01,168.63400000000001
2015-02-01,169.132
2015-03-01,169.801
2015-04-01,170.299
2015-05-01,170.882
2015-06-01,171.467
2015-07-01,172.12900000000002
2015-08-01,172.938
2015-09-01,173.83
2015-10-01,174.793
2015-11-01,175.739
2015-12-01,176.545
2016-01-01,177.27200000000002
2016-02-01,177.65200000000002
2016-03-01,178.168
2016-04-01,178.768
2016-05-01,179.43099999999998
2016-06-01,180.079
2016-07-01,180.829
2016-08-01,181.854
2016-09-01,182.827
2016-10-01,183.75599999999997
2016-11-01,184.765
2016-12-01,185.726
2017-01-01,186.8
2017-02-01,187.31400000000002
2017-03-01,187.99200000000002
2017-04-01,188.727
2017-05-01,189.622
2017-06-01,190.512
2017-07-01,191.454
2017-08-01,192.675
2017-09-01,193.774
2017-10-01,194.82
2017-11-01,195.96400000000003
2017-12-01,197.17
2018-01-01,198.294
