DATE,PI
2003-01-01,9297.2
2003-02-01,9302.0
2003-03-01,9341.7
2003-04-01,9369.8
2003-05-01,9431.9
2003-06-01,9475.2
2003-07-01,9512.4
2003-08-01,9560.2
2003-09-01,9604.3
2003-10-01,9642.4
2003-11-01,9710.1
2003-12-01,9734.9
2004-01-01,9753.2
2004-02-01,9786.7
2004-03-01,9837.2
2004-04-01,9887.5
2004-05-01,9972.9
2004-06-01,10013.0
2004-07-01,10060.0
2004-08-01,10107.8
2004-09-01,10142.9
2004-10-01,10194.7
2004-11-01,10210.6
2004-12-01,10564.5
2005-01-01,10296.1
2005-02-01,10335.8
2005-03-01,10403.5
2005-04-01,10468.7
2005-05-01,10522.6
2005-06-01,10559.1
2005-07-01,10622.7
2005-08-01,10684.7
2005-09-01,10750.8
2005-10-01,10825.6
2005-11-01,10873.6
2005-12-01,10915.9
2006-01-01,11110.9
2006-02-01,11180.6
2006-03-01,11251.7
2006-04-01,11307.8
2006-05-01,11329.1
2006-06-01,11372.0
2006-07-01,11404.2
2006-08-01,11431.6
2006-09-01,11471.2
2006-10-01,11507.6
2006-11-01,11570.5
2006-12-01,11679.2
2007-01-01,11737.9
2007-02-01,11824.1
2007-03-01,11910.2
2007-04-01,11955.5
2007-05-01,11995.3
2007-06-01,12015.3
2007-07-01,12041.5
2007-08-01,12050.3
2007-09-01,12115.9
2007-10-01,12142.4
2007-11-01,12197.5
2007-12-01,12270.4
2008-01-01,12302.1
2008-02-01,12329.8
2008-03-01,12374.0
2008-04-01,12360.2
2008-05-01,12934.6
2008-06-01,12713.5
2008-07-01,12564.0
2008-08-01,12472.5
2008-09-01,12489.4
2008-10-01,12489.4
2008-11-01,12427.1
2008-12-01,12274.1
2009-01-01,12155.6
2009-02-01,12031.7
2009-03-01,11983.8
2009-04-01,12022.2
2009-05-01,12188.9
2009-06-01,12050.9
2009-07-01,12007.4
2009-08-01,12021.0
2009-09-01,12071.4
2009-10-01,12080.2
2009-11-01,12143.6
2009-12-01,12208.3
2010-01-01,12296.6
2010-02-01,12301.4
2010-03-01,12365.6
2010-04-01,12473.3
2010-05-01,12575.2
2010-06-01,12585.4
2010-07-01,12629.5
2010-08-01,12697.4
2010-09-01,12719.1
2010-10-01,12768.0
2010-11-01,12808.4
2010-12-01,12914.3
2011-01-01,13120.0
2011-02-01,13193.3
2011-03-01,13214.3
2011-04-01,13247.4
2011-05-01,13270.9
2011-06-01,13323.5
2011-07-01,13398.4
2011-08-01,13420.6
2011-09-01,13422.3
2011-10-01,13430.4
2011-11-01,13447.9
2011-12-01,13582.4
2012-01-01,13683.6
2012-02-01,13798.1
2012-03-01,13877.1
2012-04-01,13954.9
2012-05-01,13944.6
2012-06-01,13938.1
2012-07-01,13859.9
2012-08-01,13879.8
2012-09-01,14028.2
2012-10-01,14164.6
2012-11-01,14346.4
2012-12-01,14696.7
2013-01-01,13996.7
2013-02-01,14015.4
2013-03-01,14046.4
2013-04-01,14089.6
2013-05-01,14168.4
2013-06-01,14200.8
2013-07-01,14191.1
2013-08-01,14240.1
2013-09-01,14301.2
2013-10-01,14290.7
2013-11-01,14357.7
2013-12-01,14425.7
2014-01-01,14529.9
2014-02-01,14620.1
2014-03-01,14725.2
2014-04-01,14800.2
2014-05-01,14872.4
2014-06-01,14951.3
2014-07-01,15026.9
2014-08-01,15105.5
2014-09-01,15166.0
2014-10-01,15233.2
2014-11-01,15304.9
2014-12-01,15383.1
2015-01-01,15444.5
2015-02-01,15525.3
2015-03-01,15523.4
2015-04-01,15581.5
2015-05-01,15650.7
2015-06-01,15687.4
2015-07-01,15727.5
2015-08-01,15761.1
2015-09-01,15782.3
2015-10-01,15822.4
2015-11-01,15831.0
2015-12-01,15885.7
2016-01-01,15906.1
2016-02-01,15906.3
2016-03-01,15943.3
2016-04-01,15974.1
2016-05-01,15993.9
2016-06-01,16038.1
2016-07-01,16105.0
2016-08-01,16142.6
2016-09-01,16207.3
2016-10-01,16264.5
2016-11-01,16307.3
2016-12-01,16374.1
2017-01-01,16489.3
2017-02-01,16557.5
2017-03-01,16609.1
2017-04-01,16667.2
2017-05-01,16763.7
2017-06-01,16791.0
2017-07-01,16848.0
2017-08-01,16907.9
2017-09-01,17008.3
2017-10-01,17087.2
2017-11-01,17146.6
2017-12-01,17202.4
2018-01-01,17294.8
2018-02-01,17354.1
2018-03-01,17416.0
2018-04-01,17472.7
2018-05-01,17547.6
2018-06-01,17631.9
2018-07-01,17734.2
2018-08-01,17816.8
2018-09-01,17850.7
2018-10-01,17919.9
2018-11-01,17975.9
2018-12-01,18190.9
2019-01-01,18254.2
2019-02-01,18348.5
2019-03-01,18433.4
2019-04-01,18475.5
2019-05-01,18500.0
2019-06-01,18539.1
2019-07-01,18573.3
2019-08-01,18670.6
2019-09-01,18722.6
2019-10-01,18791.9
2019-11-01,18880.2
2019-12-01,18854.8
2020-01-01,19065.2
2020-02-01,19197.0
2020-03-01,18838.8
2020-04-01,21050.3
2020-05-01,20216.6
2020-06-01,20171.3
2020-07-01,20379.3
2020-08-01,19773.2
2020-09-01,19905.2
2020-10-01,19878.9
2020-11-01,19692.2
2020-12-01,19819.7
2021-01-01,21725.4
2021-02-01,20189.4
2021-03-01,24371.9
2021-04-01,21180.9
2021-05-01,20769.3
2021-06-01,20798.9
2021-07-01,21023.3
2021-08-01,21082.7
2021-09-01,20909.7
2021-10-01,21073.0
2021-11-01,21176.6
2021-12-01,21236.8
2022-01-01,21205.7
2022-02-01,21319.5
2022-03-01,21434.3
2022-04-01,21474.1
2022-05-01,21573.6
2022-06-01,21687.0
2022-07-01,21852.3
2022-08-01,21975.8
2022-09-01,22080.4
2022-10-01,22201.9
2022-11-01,22240.1
2022-12-01,22281.9
2023-01-01,22432.0
2023-02-01,22520.6
2023-03-01,22605.1
2023-04-01,22669.7
2023-05-01,22761.5
2023-06-01,22822.8
2023-07-01,22867.8
